股票代码,股票简称,现价(元),涨跌幅(%),区间收盘价:前复权(元)2020.01.02-2020.12.09,加权净资产收益率(%)2020.09.30,区间开盘价:前复权(元)2020.01.02-2020.12.09,区间最高价:前复权(元)2020.01.02-2020.12.09,区间最低价:前复权(元)2020.01.02-2020.12.09,所属同花顺行业,预测净资产收益率(%)2022.12.31,预测净资产收益率(%)2021.12.31,预测净资产收益率(%)2020.12.31,净利润(元)2020.09.30,净资产(元)2020.09.30
600519.SH,贵州茅台,1853.11,0.168,1853.11,23.2,1110.975,1875,943.075,食品饮料-饮料制造-白酒,28.0456,28.7843,29.1507,33827103961.22,154171658125.39
688169.SH,石头科技,934.46,1.422,934.46,15.63,--,950,313.11,家用电器-白色家电-小家电,23.81,26.1106,30.6365,899343305,6618619250
300896.SZ,爱美客,571.58,-3.996,571.99,32.11,--,664,311,医药生物-医疗器械服务-医疗器械Ⅲ,24.7233,24.2967,23.8886,290434298.49,4383523594.85
300751.SZ,迈为股份,559.00,5.671,559.00,18.7,140.7,568.28,137.67,机械设备-电气设备-电源设备,24.776,23.732,21.6196,274373237.3,1577760179.11
300782.SZ,卓胜微,554.50,1.832,554.80,35.64,228.83333333,579.6,204.27222222,电子-半导体及元件-集成电路,31.5039,34.0139,36.6283,717510248.17,2304332541.19
300841.SZ,康华生物,462.90,-1.705,462.90,32.01,--,996,84.44,医药生物-生物制品-生物制品Ⅲ,30.5367,33.1033,35,343664826.66,1907837075.43
603444.SH,吉比特,405.00,-1.204,405.36,24.17,296.68,671.6,291.11,信息服务-传媒-其他传媒,26.9375,29.1945,29.725,794687099.42,3906226446.22
688536.SH,思瑞浦,399.27,-2.852,399.27,52.41,--,416,202,电子-半导体及元件-集成电路,24.0088,23.7638,27.415,162812079.7,2548056198.29
000661.SZ,长春高新,383.11,-1.258,383.12,24.53,226,513.5,216.75,医药生物-生物制品-生物制品Ⅲ,28.4938,29.3476,29.9648,2260128595.35,11258119506.17
300760.SZ,迈瑞医疗,345.00,-1.958,345.01,26.53,180.5,409.29,174.55,医药生物-医疗器械服务-医疗器械Ⅲ,25.6838,26.2204,27.3452,5363155897,22061066954
688095.SH,福昕软件,299.24,-2.324,299.24,24.87,--,373,265,信息服务-计算机应用-软件开发及服务,23.497,23.044,21.874,92603510.46,3010580459.9
300661.SZ,圣邦股份,282.87,-3.067,282.86,17.03,166.24,405,151.06666667,电子-半导体及元件-集成电路,25,23.7913,20.862,207037641.27,1366649215.38
002821.SZ,凯莱英,272.82,-0.431,272.82,15.41,129.16,295,123.66,医药生物-化学制药-化学原料药,21.0195,19.6586,18.2576,506224905.17,5779429294.99
600809.SH,山西汾酒,271.80,2.584,271.95,28.91,88.01,282.36,74.6,食品饮料-饮料制造-白酒,27.9076,28.4471,28.11,2461217522.76,9336730813.63
000858.SZ,五粮液,271.12,-0.346,271.06,18.48,129.8,279,96.43,食品饮料-饮料制造-白酒,24.2669,24.3411,23.8467,14545454674.88,82071796368.28
600436.SH,片仔癀,240.00,5.290,240.03,18.56,109.17,293.98,106.93,医药生物-中药-中药Ⅲ,22.0081,21.8247,21.1829,1328943439.48,7922853451.25
600763.SH,通策医疗,233.49,0.017,233.49,19.95,103.03,244.84,90.9,医药生物-医疗器械服务-医疗服务Ⅲ,23.7824,23.7806,23.07,395759682.84,2381470225.11
000596.SZ,古井贡酒,227.88,-0.480,227.91,16.25,129.8,277.58,97.51,食品饮料-饮料制造-白酒,21.7631,21.468,20.353,1537681004.06,10133527910.17
603501.SH,韦尔股份,220.10,0.459,219.00,16.93,143.33,252.73,131.94,电子-半导体及元件-集成电路,24.5841,25.1486,23.2336,1726573374.87,10375405097.91
688301.SH,奕瑞科技,204.99,-1.071,204.99,28.49,--,223.85,144.02,机械设备-专用设备-其它专用机械,29.0833,29.96,31.3433,155732926.99,2565959504.66
601888.SH,中国中免,203.70,-2.091,203.68,15.77,88.29,249,65.78,餐饮旅游-景点及旅游-旅游综合Ⅲ,29.6662,30.7227,21.7112,3164144459.02,22476436207.05
605168.SH,三人行,202.75,-1.511,202.75,20.67,--,305.5,71.24,信息服务-传媒-营销服务,29.7667,29.82,30.6567,182667948.92,1443731306.05
605111.SH,新洁能,199.52,-3.290,199.61,16.23,--,218,28.67,电子-半导体及元件-分立器件,21.3614,19.3457,17.1143,100947574.12,1121554717.51
002304.SZ,洋河股份,196.49,-0.350,196.50,19.08,106.99,200.02,77.34,食品饮料-饮料制造-白酒,19.7644,19.3827,18.7567,7185703291.18,38171275923.08
603195.SH,公牛集团,193.14,-0.801,193.14,18.91,--,211,67.54,机械设备-电气设备-输变电设备,29.5307,30.8447,31.7607,1598945583.76,8379823944.74
000568.SZ,泸州老窖,191.12,-0.313,191.25,23.17,84.41,200.79,63.29,食品饮料-饮料制造-白酒,25.7697,25.9694,25.4069,4815378966.56,22007914311.24
300866.SZ,安克创新,190.12,2.276,190.12,19.25,--,199.9,114,电子-电子制造-电子零部件制造,25.3376,25.6689,25.5267,532781060.16,5120395041.21
603392.SH,万泰生物,188.76,3.487,188.76,26.04,--,296.8,12.6,医药生物-医疗器械服务-医疗器械Ⅲ,30.78,30.42,25.84,466704007.75,2369129831.23
605009.SH,豪悦护理,185.46,-1.398,185.47,55.65,--,217,74.71,轻工制造-造纸-造纸Ⅲ,25.5646,27.8554,36.7177,492396339.45,2681223590.34
603288.SH,海天味业,185.22,0.937,185.22,26.74,88.89166667,203,75.91666667,食品饮料-食品加工制造-调味发酵品,30.0859,30.951,31.851,4571403806.15,18334197491.44
688390.SH,固德威,179.56,4.292,179.56,37.99,--,207.38,104,机械设备-电气设备-电源设备,32.3,33.3667,32.5333,196763731.19,1392642752.06
688399.SH,硕世生物,178.21,-1.958,178.24,47.54,54.84,475.26,54.1,医药生物-医疗器械服务-医疗器械Ⅲ,--,--,--,581793307.96,1426722776.83
605266.SH,健之佳,161.80,-4.289,161.80,25.27,--,171.5,87.47,医药生物-医药商业-医药商业Ⅲ,--,--,--,171090017.69,747482066.81
603160.SH,汇顶科技,159.97,-1.411,159.97,16.04,208.3,387.2,155.78,电子-半导体及元件-集成电路,21.6633,20.9,20.974,1100082610.16,7442544716.37
688298.SH,东方生物,158.01,4.248,158.06,62.55,--,284.2,59.79,医药生物-医疗器械服务-医疗器械Ⅲ,50.755,61.045,90.98,664456764.88,1443745527.69
300860.SZ,锋尚文化,153.12,-1.512,153.12,20.73,--,242,126.01,信息服务-传媒-其他传媒,18.775,18.225,16.875,203902113.27,3105624213.79
300832.SZ,新产业,152.02,-1.662,152.03,17.33,--,204.08,36.17,医药生物-医疗器械服务-医疗器械Ⅲ,22.606,21.413,21.35,698365587.42,4495421312.87
603129.SH,春风动力,150.25,-2.416,150.24,25.05,42.35,180,29.49,交运设备-非汽车交运-其他交运设备,29.555,28.7,26.2517,296610347.97,1342792175.56
603658.SH,安图生物,149.25,-2.291,149.25,16.96,96.72,180.99,91.7,医药生物-医疗器械服务-医疗器械Ⅲ,29.7405,29.8427,26.5277,514301217.36,3291191861.25
688408.SH,中信博,146.58,3.663,146.58,15.43,--,159.8,75,机械设备-电气设备-电源设备,29.2675,26.2075,22.9425,173097697.99,2370364694.94
603737.SH,三棵树,145.59,2.254,145.60,17.73,58.21428571,177,51.44285714,化工-化学制品-涂料油漆油墨制造,30.0667,30.4575,26.8325,324906494.33,2501582497.42
300888.SZ,稳健医疗,145.49,-4.264,145.49,67.3,--,181.77,103.7,纺织服装-纺织制造-其他纺织,19.8538,20.72,48.4135,3150098280.6,9786083112.75
300033.SZ,同花顺,140.30,-1.385,140.25,19.02,112.26,187.99,90.15,信息服务-计算机应用-软件开发及服务,26.8653,27.4575,26.1085,772099972.12,4293788628.7
300677.SZ,英科医疗,138.60,-1.766,138.51,109.9,10.76,144.6,10.56666667,医药生物-医疗器械服务-医疗器械Ⅲ,28.5325,52.655,80.065,4372579432.27,6073210319.65
300122.SZ,智飞生物,137.97,-1.083,137.87,35.93,48.7,193.71,48.16,医药生物-生物制品-生物制品Ⅲ,34.27,37.6544,39.796,2478595732.37,7425933361.49
002791.SZ,坚朗五金,137.34,1.144,137.03,15.02,30.37,171.64,30.37,建筑材料-建筑材料-其他建材,23.4575,23.0589,20.4878,501774201.12,3756435399.27
688036.SH,传音控股,136.87,-4.206,136.87,21.69,44.76,155.58,40.83,电子-电子制造-电子系统组装,25.091,25.544,25.731,1953954336.96,9761196986.72
300869.SZ,康泰医学,135.31,-2.836,135.31,58.39,--,308,50.08,医药生物-医疗器械服务-医疗器械Ⅲ,--,--,--,514943653.16,1471494186.16
300347.SZ,泰格医药,134.43,-0.753,134.43,18.63,63.472,137.8,60.902,医药生物-医疗器械服务-医疗服务Ⅲ,19.8094,19.7741,21.6741,1318020419.28,17526206212.96
